"","model","sim","year","hm_jday","max_jday","max_val","first","median","diff_hm","diff_max","n.surveys"
"77","hierarchical",3,"11",124,132,0.14447775326034,121,134,0,0,2000
"78","hierarchical",3,"12",124,131,0.147837382695264,121,135,1,0,1250
"79","hierarchical",3,"13",123,131,0.151013990128173,122,133,1,1,500
"80","independent",4,"1",133,141,0.111372918619856,120,148,-1,-1,9500
"81","independent",4,"2",132,139,0.115813159469314,125,144,-1,-2,8750
"82","independent",4,"3",132,139,0.163960321946841,124,142,0,-1,8000
"83","independent",4,"4",131,139,0.121342835011221,124,142,0,0,7250
"84","independent",4,"5",130,137,0.146482079338474,124,140,0,-1,6500
"85","independent",4,"6",127,135,0.136945631323772,122,137,-2,-2,5750
"86","independent",4,"7",128,137,0.122564570037902,119,139.5,0,1,5000
"87","independent",4,"8",126,134,0.0930479525072954,117,140.5,-1,-1,4250
"88","independent",4,"9",125,133,0.128195079360511,121,138,-1,-1,3500
"89","independent",4,"10",126,135,0.091675307154457,119,138,1,2,2750
"90","independent",4,"11",126,132,0.134085952235181,123,134,2,0,2000
"91","independent",4,"12",124,133,0.114962831216799,121,135,1,2,1250
"92","independent",4,"13",120,133,0.0821941211282862,119,132,-2,3,500
"93","hierarchical",4,"1",132,139,0.118035277599399,120,148,-2,-3,9500
"94","hierarchical",4,"2",132,139,0.125373757040126,125,144,-1,-2,8750
"95","hierarchical",4,"3",131,138,0.130742630539625,124,142,-1,-2,8000
"96","hierarchical",4,"4",130,138,0.133224469756684,124,142,-1,-1,7250
"97","hierarchical",4,"5",130,137,0.134299411564807,124,140,0,-1,6500
"98","hierarchical",4,"6",129,136,0.13288600945257,122,137,0,-1,5750
"99","hierarchical",4,"7",128,136,0.130594742882762,119,139.5,0,0,5000
"100","hierarchical",4,"8",127,135,0.128039769411947,117,140.5,0,0,4250
"101","hierarchical",4,"9",126,134,0.125534766241814,121,138,0,0,3500
"102","hierarchical",4,"10",125,134,0.12398250395182,119,138,0,1,2750
"103","hierarchical",4,"11",124,133,0.123874943823458,123,134,0,1,2000
"104","hierarchical",4,"12",124,132,0.124703141608772,121,135,1,1,1250
"105","hierarchical",4,"13",123,131,0.126164642246313,119,132,1,1,500
"106","independent",5,"1",133,141,0.112216080595499,126,144.5,-1,-1,9500
"107","independent",5,"2",131,139,0.113158444362387,126,144,-2,-2,8750
"108","independent",5,"3",132,139,0.151834356438461,122,141,0,-1,8000
